Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/slave/slave.cpp;100;102
[CODE-MAX]_11;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/slave/slave.cpp;102;104
[CODE-MAX]_12;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/internalApi.cpp;108;117
[CODE-MAX]_12;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/internalApi.cpp;228;237
[CODE-MAX]_12;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/internalApi.cpp;288;297
[CODE-MAX]_12;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/internalApi.cpp;447;457
[CODE-MAX]_12;50;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/internalApi.cpp;545;554
[CODE-MAX]_13;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/cancel_job.cpp;65;72
[CODE-MAX]_13;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_completed_jobs_output.cpp;67;74
[CODE-MAX]_13;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_job_info.cpp;68;75
[CODE-MAX]_13;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_job_output.cpp;76;83
[CODE-MAX]_13;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/get_job_progress.cpp;93;100
[CODE-MAX]_13;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/submit_job.cpp;143;150
[CODE-MAX]_14;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;253;260
[CODE-MAX]_14;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;33;42
[CODE-MAX]_14;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;51;60
[CODE-MAX]_14;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/ListJobServer.hpp;216;224
[CODE-MAX]_14;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/ListProgressServer.hpp;170;178
[CODE-MAX]_15;94;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;133;154
[CODE-MAX]_15;94;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;195;217
