Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_19;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;299;304
[CODE-MAX]_19;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;416;421
[CODE-MAX]_19;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;446;451
[CODE-MAX]_19;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;684;689
[CODE-MAX]_19;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;874;879
[CODE-MAX]_20;32;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/FMSMapper.cpp;61;67
[CODE-MAX]_20;32;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/IMSMapper.cpp;60;66
[CODE-MAX]_20;32;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;61;67
[CODE-MAX]_20;32;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;82;88
[CODE-MAX]_21;39;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;176;185
[CODE-MAX]_21;39;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;247;255
[CODE-MAX]_21;39;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;295;303
[CODE-MAX]_22;23;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryServer.hpp;82;95
[CODE-MAX]_22;23;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/QueryServer.hpp;125;138
[CODE-MAX]_23;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;299;304
[CODE-MAX]_23;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;416;421
[CODE-MAX]_23;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;446;451
[CODE-MAX]_23;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;874;879
[CODE-MAX]_24;35;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;247;254
[CODE-MAX]_24;35;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;266;273
[CODE-MAX]_24;35;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;284;291
[CODE-MAX]_25;51;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;299;310
