File;Line;Severity;Rule;Description
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\ServerIMS.cpp;24;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\sed\ServerIMS.cpp;25;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\TMS\src\sed\ServerTMS.cpp;15;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\TMS\src\sed\ServerTMS.cpp;16;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\sed\ServerUMS.cpp;11;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\sed\ServerUMS.cpp;12;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\sed\ServerUMS.cpp;13;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\sed\ServerUMS.cpp;14;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\sed\ServerUMS.cpp;15;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\sed\ServerUMS.cpp;16;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\server\SessionServer.cpp;259;Required;MISRA_6_4_6;Default clause in switch
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\export\shell\ShellExporter.cpp;33;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\export\shell\ShellExporter.cpp;79;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\export\shell\ShellExporter.cpp;108;Required;MISRA_0_1_1;Unreachable code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\export\shell\ShellExporter.cpp;111;Required;MISRA_0_1_1;Unreachable code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\export\shell\ShellExporter.cpp;114;Required;MISRA_0_1_1;Unreachable code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\export\shell\ShellExporter.cpp;117;Required;MISRA_0_1_1;Unreachable code
